SALES_ID;SALES_REP;EMAILS;BRANDS;DRINK TYPE;PLANT_COST;UNIT_PRICE;QUANTITY;COST;PROFIT;COUNTRIES;REGION ;TERRITORY;MONTHS;YEARS
10101;Jardine;jard@gmail.com;trophy;Beer; ? 150,00 ; ? 200,00 ;725,00; ? 145 000,00 ; ? 36 250,00 ;Ghana;Southeast;Anglophone;January;2019
10102;Gill;gillhell@uk.com;budweiser;Beer; ? 250,00 ; ? 500,00 ;815,00; ? 407 500,00 ; ? 203 750,00 ;Nigeria;west;Anglophone;February;2018
10103;Sorvino;sorvi2000@gmail.com;castle lite;Beer; ? 180,00 ; ? 450,00 ;937,00; ? 421 650,00 ; ? 252 990,00 ;Togo;southsouth;Francophone;March;2018
10104;Jones;jone.ai@yahoo.com;eagle lager;Beer; ? 170,00 ; ? 250,00 ;765,00; ? 191 250,00 ; ? 61 200,00 ;Benin;northwest;Francophone;April;2018
10105;Andrews;andy@gmail.com;hero;Beer; ? 150,00 ; ? 200,00 ;836,00; ? 167 200,00 ; ? 41 800,00 ;Senegal;northeast ;Anglophone;May;2017
10106;Jardine;jard@gmail.com;beta malt;Malt; ? 80,00 ; ? 150,00 ;798,00; ? 119 700,00 ; ? 55 860,00 ;Ghana;northcentral ;Anglophone;June;2019
10107;Thompson;thomp@uk.com;grand malt;Malt; ? 90,00 ; ? 150,00 ;954,00; ? 143 100,00 ; ? 57 240,00 ;Nigeria;Southeast;Anglophone;July;2017
10108;Jones;jone.ai@yahoo.com;trophy;Beer; ? 150,00 ; ? 200,00 ;812,00; ? 162 400,00 ; ? 40 600,00 ;Togo;west;Francophone;August;2018
10109;Morgan;morganny@gmail.com;budweiser;Beer; ? 250,00 ; ? 500,00 ;700,00; ? 350 000,00 ; ? 175 000,00 ;Benin;southsouth;Francophone;September;2019
10110;Howard;howard_freeman@yahoo.com;castle lite;Beer; ? 180,00 ; ? 450,00 ;745,00; ? 335 250,00 ; ? 201 150,00 ;Senegal;northwest;Anglophone;October;2017
10111;Parent;parentty@uk.com;eagle lager;Beer; ? 170,00 ; ? 250,00 ;861,00; ? 215 250,00 ; ? 68 880,00 ;Ghana;northeast ;Anglophone;November;2017
10112;Jones;jone.ai@yahoo.com;hero;Beer; ? 150,00 ; ? 200,00 ;902,00; ? 180 400,00 ; ? 45 100,00 ;Nigeria;northcentral ;Anglophone;December;2019
10113;Smith;smithMan@yahoo.com;beta malt;Malt; ? 80,00 ; ? 150,00 ;731,00; ? 109 650,00 ; ? 51 170,00 ;Togo;Southeast;Francophone;January;2018
10114;Jones;jone.ai@yahoo.com;grand malt;Malt; ? 90,00 ; ? 150,00 ;843,00; ? 126 450,00 ; ? 50 580,00 ;Benin;west;Francophone;February;2017
10115;Morgan;morganny@gmail.com;trophy;Beer; ? 150,00 ; ? 200,00 ;939,00; ? 187 800,00 ; ? 46 950,00 ;Senegal;southsouth;Anglophone;March;2018
10116;Jones;jone.ai@yahoo.com;budweiser;Beer; ? 250,00 ; ? 500,00 ;709,00; ? 354 500,00 ; ? 177 250,00 ;Ghana;northwest;Anglophone;April;2019
10117;Parent;parentty@uk.com;castle lite;Beer; ? 180,00 ; ? 450,00 ;837,00; ? 376 650,00 ; ? 225 990,00 ;Nigeria;northeast ;Anglophone;May;2017
10118;Kivell;kivel_go@yahoo.com;eagle lager;Beer; ? 170,00 ; ? 250,00 ;910,00; ? 227 500,00 ; ? 72 800,00 ;Togo;northcentral ;Francophone;June;2018
10119;Smith;smithMan@yahoo.com;hero;Beer; ? 150,00 ; ? 200,00 ;996,00; ? 199 200,00 ; ? 49 800,00 ;Benin;Southeast;Francophone;July;2019
10120;Parent;parentty@uk.com;beta malt;Malt; ? 80,00 ; ? 150,00 ;731,00; ? 109 650,00 ; ? 51 170,00 ;Senegal;west;Anglophone;August;2017
10121;Gill;gillhell@uk.com;grand malt;Malt; ? 90,00 ; ? 150,00 ;898,00; ? 134 700,00 ; ? 53 880,00 ;Ghana;southsouth;Anglophone;September;2017
10122;Smith;smithMan@yahoo.com;trophy;Beer; ? 150,00 ; ? 200,00 ;860,00; ? 172 000,00 ; ? 43 000,00 ;Nigeria;northwest;Anglophone;October;2018
10123;Jones;jone.ai@yahoo.com;budweiser;Beer; ? 250,00 ; ? 500,00 ;859,00; ? 429 500,00 ; ? 214 750,00 ;Togo;northeast ;Francophone;November;2017
10124;Sorvino;sorvi2000@gmail.com;castle lite;Beer; ? 180,00 ; ? 450,00 ;857,00; ? 385 650,00 ; ? 231 390,00 ;Benin;northcentral ;Francophone;December;2017
10125;Jardine;jard@gmail.com;eagle lager;Beer; ? 170,00 ; ? 250,00 ;715,00; ? 178 750,00 ; ? 57 200,00 ;Senegal;Southeast;Anglophone;January;2018
10126;Andrews;andy@gmail.com;hero;Beer; ? 150,00 ; ? 200,00 ;999,00; ? 199 800,00 ; ? 49 950,00 ;Ghana;west;Anglophone;February;2018
10127;Howard;howard_freeman@yahoo.com;beta malt;Malt; ? 80,00 ; ? 150,00 ;982,00; ? 147 300,00 ; ? 68 740,00 ;Nigeria;southsouth;Anglophone;March;2017
10128;Gill;gillhell@uk.com;grand malt;Malt; ? 90,00 ; ? 150,00 ;920,00; ? 138 000,00 ; ? 55 200,00 ;Togo;northwest;Francophone;April;2018
10129;Gill;gillhell@uk.com;trophy;Beer; ? 150,00 ; ? 200,00 ;875,00; ? 175 000,00 ; ? 43 750,00 ;Benin;northeast ;Francophone;May;2017
10130;Kivell;kivel_go@yahoo.com;budweiser;Beer; ? 250,00 ; ? 500,00 ;945,00; ? 472 500,00 ; ? 236 250,00 ;Senegal;northcentral ;Anglophone;June;2019
10131;Jones;jone.ai@yahoo.com;castle lite;Beer; ? 180,00 ; ? 450,00 ;794,00; ? 357 300,00 ; ? 214 380,00 ;Ghana;Southeast;Anglophone;July;2019
10132;Morgan;morganny@gmail.com;eagle lager;Beer; ? 170,00 ; ? 250,00 ;826,00; ? 206 500,00 ; ? 66 080,00 ;Nigeria;west;Anglophone;August;2017
10133;Kivell;kivel_go@yahoo.com;hero;Beer; ? 150,00 ; ? 200,00 ;1000,00; ? 200 000,00 ; ? 50 000,00 ;Togo;southsouth;Francophone;September;2019
10134;Sorvino;sorvi2000@gmail.com;beta malt;Malt; ? 80,00 ; ? 150,00 ;804,00; ? 120 600,00 ; ? 56 280,00 ;Benin;northwest;Francophone;October;2018
10135;Gill;gillhell@uk.com;grand malt;Malt; ? 90,00 ; ? 150,00 ;890,00; ? 133 500,00 ; ? 53 400,00 ;Senegal;northeast ;Anglophone;November;2017
10136;Sorvino;sorvi2000@gmail.com;trophy;Beer; ? 150,00 ; ? 200,00 ;870,00; ? 174 000,00 ; ? 43 500,00 ;Ghana;northcentral ;Anglophone;December;2017
10137;Thompson;thomp@uk.com;budweiser;Beer; ? 250,00 ; ? 500,00 ;821,00; ? 410 500,00 ; ? 205 250,00 ;Nigeria;Southeast;Anglophone;January;2017
10138;Andrews;andy@gmail.com;castle lite;Beer; ? 180,00 ; ? 450,00 ;950,00; ? 427 500,00 ; ? 256 500,00 ;Togo;west;Francophone;February;2018
10139;Jardine;jard@gmail.com;eagle lager;Beer; ? 170,00 ; ? 250,00 ;784,00; ? 196 000,00 ; ? 62 720,00 ;Benin;southsouth;Francophone;March;2019
10140;Jardine;jard@gmail.com;hero;Beer; ? 150,00 ; ? 200,00 ;999,00; ? 199 800,00 ; ? 49 950,00 ;Senegal;northwest;Anglophone;April;2019
10141;Andrews;andy@gmail.com;beta malt;Malt; ? 80,00 ; ? 150,00 ;894,00; ? 134 100,00 ; ? 62 580,00 ;Ghana;northeast ;Anglophone;May;2019
10142;Jardine;jard@gmail.com;grand malt;Malt; ? 90,00 ; ? 150,00 ;827,00; ? 124 050,00 ; ? 49 620,00 ;Nigeria;northcentral ;Anglophone;June;2017
10143;Gill;gillhell@uk.com;trophy;Beer; ? 150,00 ; ? 200,00 ;779,00; ? 155 800,00 ; ? 38 950,00 ;Togo;Southeast;Francophone;July;2018
10144;Sorvino;sorvi2000@gmail.com;budweiser;Beer; ? 250,00 ; ? 500,00 ;835,00; ? 417 500,00 ; ? 208 750,00 ;Benin;west;Francophone;August;2017
10145;Jones;jone.ai@yahoo.com;castle lite;Beer; ? 180,00 ; ? 450,00 ;801,00; ? 360 450,00 ; ? 216 270,00 ;Senegal;southsouth;Anglophone;September;2018
10146;Andrews;andy@gmail.com;eagle lager;Beer; ? 170,00 ; ? 250,00 ;710,00; ? 177 500,00 ; ? 56 800,00 ;Ghana;northwest;Anglophone;October;2017
10147;Jardine;jard@gmail.com;hero;Beer; ? 150,00 ; ? 200,00 ;952,00; ? 190 400,00 ; ? 47 600,00 ;Nigeria;northeast ;Anglophone;November;2017
10148;Thompson;thomp@uk.com;beta malt;Malt; ? 80,00 ; ? 150,00 ;891,00; ? 133 650,00 ; ? 62 370,00 ;Togo;northcentral ;Francophone;December;2017
10149;Jones;jone.ai@yahoo.com;grand malt;Malt; ? 90,00 ; ? 150,00 ;781,00; ? 117 150,00 ; ? 46 860,00 ;Benin;Southeast;Francophone;January;2018
10150;Morgan;morganny@gmail.com;trophy;Beer; ? 150,00 ; ? 200,00 ;845,00; ? 169 000,00 ; ? 42 250,00 ;Senegal;west;Anglophone;February;2019
10151;Howard;howard_freeman@yahoo.com;budweiser;Beer; ? 250,00 ; ? 500,00 ;719,00; ? 359 500,00 ; ? 179 750,00 ;Ghana;southsouth;Anglophone;March;2018
10152;Parent;parentty@uk.com;castle lite;Beer; ? 180,00 ; ? 450,00 ;878,00; ? 395 100,00 ; ? 237 060,00 ;Nigeria;northwest;Anglophone;April;2019
10153;Jones;jone.ai@yahoo.com;eagle lager;Beer; ? 170,00 ; ? 250,00 ;832,00; ? 208 000,00 ; ? 66 560,00 ;Togo;northeast ;Francophone;May;2018
10154;Smith;smithMan@yahoo.com;hero;Beer; ? 150,00 ; ? 200,00 ;766,00; ? 153 200,00 ; ? 38 300,00 ;Benin;northcentral ;Francophone;June;2017
10155;Jones;jone.ai@yahoo.com;beta malt;Malt; ? 80,00 ; ? 150,00 ;726,00; ? 108 900,00 ; ? 50 820,00 ;Senegal;Southeast;Anglophone;July;2018
10156;Morgan;morganny@gmail.com;grand malt;Malt; ? 90,00 ; ? 150,00 ;962,00; ? 144 300,00 ; ? 57 720,00 ;Ghana;west;Anglophone;August;2017
10157;Jones;jone.ai@yahoo.com;trophy;Beer; ? 150,00 ; ? 200,00 ;920,00; ? 184 000,00 ; ? 46 000,00 ;Nigeria;southsouth;Anglophone;September;2018
10158;Parent;parentty@uk.com;budweiser;Beer; ? 250,00 ; ? 500,00 ;776,00; ? 388 000,00 ; ? 194 000,00 ;Togo;northwest;Francophone;October;2017
10159;Kivell;kivel_go@yahoo.com;castle lite;Beer; ? 180,00 ; ? 450,00 ;872,00; ? 392 400,00 ; ? 235 440,00 ;Benin;northeast ;Francophone;November;2018
10160;Smith;smithMan@yahoo.com;eagle lager;Beer; ? 170,00 ; ? 250,00 ;831,00; ? 207 750,00 ; ? 66 480,00 ;Senegal;northcentral ;Anglophone;December;2017
10161;Parent;parentty@uk.com;hero;Beer; ? 150,00 ; ? 200,00 ;847,00; ? 169 400,00 ; ? 42 350,00 ;Ghana;Southeast;Anglophone;January;2019
10162;Gill;gillhell@uk.com;beta malt;Malt; ? 80,00 ; ? 150,00 ;931,00; ? 139 650,00 ; ? 65 170,00 ;Nigeria;west;Anglophone;February;2018
10163;Smith;smithMan@yahoo.com;grand malt;Malt; ? 90,00 ; ? 150,00 ;768,00; ? 115 200,00 ; ? 46 080,00 ;Togo;southsouth;Francophone;March;2017
10164;Jones;jone.ai@yahoo.com;trophy;Beer; ? 150,00 ; ? 200,00 ;736,00; ? 147 200,00 ; ? 36 800,00 ;Benin;northwest;Francophone;April;2017
10165;Sorvino;sorvi2000@gmail.com;budweiser;Beer; ? 250,00 ; ? 500,00 ;780,00; ? 390 000,00 ; ? 195 000,00 ;Senegal;northeast ;Anglophone;May;2019
10166;Jardine;jard@gmail.com;castle lite;Beer; ? 180,00 ; ? 450,00 ;918,00; ? 413 100,00 ; ? 247 860,00 ;Ghana;northcentral ;Anglophone;June;2017
10167;Andrews;andy@gmail.com;eagle lager;Beer; ? 170,00 ; ? 250,00 ;769,00; ? 192 250,00 ; ? 61 520,00 ;Nigeria;Southeast;Anglophone;July;2019
10168;Howard;howard_freeman@yahoo.com;hero;Beer; ? 150,00 ; ? 200,00 ;712,00; ? 142 400,00 ; ? 35 600,00 ;Togo;west;Francophone;August;2019
10169;Gill;gillhell@uk.com;beta malt;Malt; ? 80,00 ; ? 150,00 ;768,00; ? 115 200,00 ; ? 53 760,00 ;Benin;southsouth;Francophone;September;2017
10170;Gill;gillhell@uk.com;grand malt;Malt; ? 90,00 ; ? 150,00 ;940,00; ? 141 000,00 ; ? 56 400,00 ;Senegal;northwest;Anglophone;October;2018
10171;Kivell;kivel_go@yahoo.com;trophy;Beer; ? 150,00 ; ? 200,00 ;948,00; ? 189 600,00 ; ? 47 400,00 ;Ghana;northeast ;Anglophone;November;2018
